CellContourAnalysis
Cell outline curvature	Mean signal intensity [a.u.]	Standard deviation of signal intensity [a.u.]	Number of data points	Standard error of the mean (S.E.M.)
-0.4	NaN	NaN	0	NaN
-0.38	NaN	NaN	0	NaN
-0.36	NaN	NaN	0	NaN
-0.34	NaN	NaN	0	NaN
-0.32	NaN	NaN	0	NaN
-0.3	NaN	NaN	0	NaN
-0.28	NaN	NaN	0	NaN
-0.26	NaN	NaN	0	NaN
-0.24	NaN	NaN	0	NaN
-0.22	NaN	NaN	0	NaN
-0.2	NaN	NaN	0	NaN
-0.18	NaN	NaN	0	NaN
-0.16	NaN	NaN	0	NaN
-0.14	NaN	NaN	0	NaN
-0.12	0.3134	0.06879	4	0.03439
-0.1	0.457	0.2308	20	0.05161
-0.08	0.3376	0.2391	50	0.03381
-0.06	0.3532	0.2163	110	0.02063
-0.04	0.3131	0.1966	169	0.01512
-0.02	0.2729	0.1811	180	0.0135
0	0.2406	0.1745	106	0.01695
0.02	0.189	0.1135	204	0.007948
0.04	0.153	0.09253	147	0.007632
0.06	0.1319	0.08257	119	0.007569
0.08	0.1348	0.07854	80	0.008781
0.1	0.1166	0.0697	46	0.01028
0.12	0.09829	0.07736	39	0.01239
0.14	0.1282	0.1097	22	0.02339
0.16	0.06931	0.05569	11	0.01679
0.18	0.05569	0.03111	16	0.007776
0.2	0.08429	0.05799	7	0.02192
0.22	0.1458	0.03728	3	0.02152
0.24	0.1582	0.0235	2	0.01662
0.26	NaN	NaN	0	NaN
0.28	NaN	NaN	0	NaN
0.3	NaN	NaN	0	NaN
0.32	NaN	NaN	0	NaN
0.34	NaN	NaN	0	NaN
0.36	NaN	NaN	0	NaN
0.38	NaN	NaN	0	NaN
0.4	NaN	NaN	0	NaN
0.42	NaN	NaN	0	NaN
0.44	NaN	NaN	0	NaN
0.46	NaN	NaN	0	NaN
0.48	NaN	NaN	0	NaN
0.5	NaN	NaN	0	NaN
0.52	NaN	NaN	0	NaN
0.54	NaN	NaN	0	NaN
0.56	NaN	NaN	0	NaN
0.58	NaN	NaN	0	NaN
0.6	NaN	NaN	0	NaN
0.62	NaN	NaN	0	NaN
0.64	NaN	NaN	0	NaN
0.66	NaN	NaN	0	NaN
0.68	NaN	NaN	0	NaN
0.7	NaN	NaN	0	NaN
0.72	NaN	NaN	0	NaN
0.74	NaN	NaN	0	NaN
0.76	NaN	NaN	0	NaN
0.78	NaN	NaN	0	NaN
0.8	NaN	NaN	0	NaN
0.82	NaN	NaN	0	NaN
0.84	NaN	NaN	0	NaN
0.86	NaN	NaN	0	NaN
0.88	NaN	NaN	0	NaN
0.9	NaN	NaN	0	NaN
0.92	NaN	NaN	0	NaN
0.94	NaN	NaN	0	NaN
0.96	NaN	NaN	0	NaN
0.98	NaN	NaN	0	NaN
1	NaN	NaN	0	NaN
